First Name,Last Name,ID Number,Age,Year Level,Gender,College,College Code,Program,Program Code
Mia,Gonzales,8976-3515,22,4,Male,College of Computer Studies,CCS,BS Computer Science,BSCS
Owen,Wong,3324-8833,24,2,Female,College of Engineering,COE,BS Electrical Engineering,BSEE
Ethan,Fernandez,1034-8886,19,3,Male,College of Computer Studies,CCS,BS Computer Science,BSCS
Leo,Tan,9528-9090,19,3,Female,College of Engineering,COE,BS Electrical Engineering,BSEE
Sean,Gomez,4972-6431,22,1,Female,College of Computer Studies,CCS,BS Computer Science,BSCS
Paul,Tolentino,1122-5837,18,3,Male,College of Business Administration,CBA,BS Business Administration,BSBA
Ella,Yu,9296-9990,19,3,Male,College of Arts and Sciences,CAS,BA English,BAENG
James,Quezon,9155-6649,24,4,Female,College of Engineering,COE,BS Computer Engineering,BSCpE
Kyle,Pascual,6503-5306,19,3,Male,College of Business Administration,CBA,BS Accountancy,BSA
Liza,Ignacio,3674-3574,23,2,Female,College of Engineering,COE,BS Computer Engineering,BSCpE
Faith,Franco,1955-5717,20,1,Male,College of Computer Studies,CCS,BS Computer Science,BSCS
Marco,Alvarez,8292-6443,21,2,Female,College of Computer Studies,CCS,BS Information Technology,BSIT
Xena,Chavez,9381-7969,24,4,Male,College of Business Administration,CBA,BS Accountancy,BSA
Jade,Salazar,7494-6647,19,3,Female,College of Business Administration,CBA,BS Accountancy,BSA
Paul,Alvarez,3687-7016,23,1,Female,College of Transformers and Inovatronics,CTI,Bachelor of Science in Transformersoptimusprime,BST
Mark,Hernandez,1632-6622,18,4,Male,College of Arts and Sciences,CAS,BA English,BAENG
Yuri,Yu,2307-5875,18,1,Male,College of Engineering,COE,BS Computer Engineering,BSCpE
Grace,Chavez,2574-2348,22,3,Male,College of Computer Studies,CCS,BS Information Technology,BSIT
Chloe,Gomez,5025-2619,24,2,Male,College of Arts and Sciences,CAS,BS Education,BSE
Mia,Aquino,8198-6080,22,4,Female,College of Business Administration,CBA,BS Accountancy,BSA
Rhea,Luna,3594-9481,19,2,Female,College of Arts and Sciences,CAS,BS Education,BSE
Nina,Uy,5644-9731,24,2,Female,College of Engineering,COE,BS Computer Engineering,BSCpE
Tina,Garcia,5023-2121,18,2,Male,College of Arts and Sciences,CAS,BA English,BAENG
Ethan,Zamora,1924-1955,22,1,Female,College of Computer Studies,CCS,BS Computer Science,BSCS
Leo,Bautista,8184-8587,19,2,Male,College of Engineering,COE,BS Electrical Engineering,BSEE
Ethan,Garcia,3053-9417,23,4,Female,College of Engineering,COE,BS Electrical Engineering,BSEE
Xena,Bautista,4357-1843,21,2,Male,College of Computer Studies,CCS,BS Information Technology,BSIT
Jade,Jimenez,2773-3196,19,4,Male,College of Computer Studies,CCS,BS Computer Science,BSCS
Cyrus,Franco,9784-3538,22,1,Female,College of Engineering,COE,BS Electrical Engineering,BSEE
Zara,Flores,6390-9483,20,3,Female,College of Arts and Sciences,CAS,BS Education,BSE
Nora,Reyes,1162-3107,21,4,Male,College of Engineering,COE,BS Electrical Engineering,BSEE
Lara,Gomez,3986-9585,18,2,Female,College of Computer Studies,CCS,BS Computer Science,BSCS
Tina,Bautista,9561-1379,24,4,Male,College of Engineering,COE,BS Computer Engineering,BSCpE
Anna,Rivera,8194-9916,20,4,Female,College of Arts and Sciences,CAS,BS Education,BSE
Nina,DelosReyes,3763-4278,24,4,Female,College of Engineering,COE,BS Computer Engineering,BSCpE
Yuri,Gutierrez,5416-2298,21,4,Male,College of Arts and Sciences,CAS,BA English,BAENG
Faith,Chavez,9672-2689,22,2,Male,College of Engineering,COE,BS Computer Engineering,BSCpE
Adrian,Ocampo,5939-2836,20,4,Male,College of Arts and Sciences,CAS,BS Education,BSE
Liza,Gonzales,8327-4974,18,4,Male,College of Arts and Sciences,CAS,BS Education,BSE
Wade,Valdez,9030-9417,22,3,Male,College of Arts and Sciences,CAS,BS Education,BSE
Rose,DelosReyes,6273-2645,20,1,Male,College of Engineering,COE,BS Electrical Engineering,BSEE
Leo,Ignacio,4970-7233,23,1,Female,College of Engineering,COE,BS Electrical Engineering,BSEE
Cyrus,DelosReyes,5665-3844,19,3,Male,College of Computer Studies,CCS,BS Information Technology,BSIT
Ethan,Herrera,1218-6834,20,2,Male,College of Arts and Sciences,CAS,BS Education,BSE
Hannah,Flores,6778-4722,24,1,Female,College of Computer Studies,CCS,BS Computer Science,BSCS
John,Vergara,5819-1910,21,1,Female,College of Arts and Sciences,CAS,BA English,BAENG
James,Quintos,9552-6746,20,4,Female,College of Computer Studies,CCS,BS Computer Science,BSCS
Ivy,Flores,9543-8042,20,3,Male,College of Engineering,COE,BS Electrical Engineering,BSEE
Gabe,Domingo,4192-1952,18,1,Male,College of Arts and Sciences,CAS,BA English,BAENG
Aaron,Chavez,7303-2939,19,1,Male,College of Business Administration,CBA,BS Accountancy,BSA
Maria,Rentuaya,2023-0425,21,3rd Year,Female,College of Science and Math,CSM,Bachelor of Science in Micro Biology,BSMB
